ITEM NO.,PART NUMBER,DESCRIPTION,Category,QTY.
1,1009,100M PLASTIC REEL OF 1.75 FILAMENT PLA,HARDWARE,1
2,1047,PCB HEATER (TABBED VERSION),HARDWARE,2
3,1095,TCRT1000,Electronics,1
4,110,M2.5X5 CAP HEAD,FASTENERS,2
5,111,M3X8 CAP HEAD,FASTENERS,5
6,112,M3X25MM CAP SCREW,FASTENERS,7
7,115,M4X8MM COUNTERSUNK  SOCKET SCREW,Fasteners,1
8,116,M4X12MM COUNTERSUNK SOCKET SCREW,Fasteners,10
9,125,GLASS PRINTING PLATE,HARDWARE,1
10,185,MICROSWITCH,HARDWARE,2
11,212,M3 PLAIN WASHER,FASTENERS,19
12,241,M3X20MM CAP SCREW,FASTENERS,2
13,257,M3X12 CAP SCREW,FASTENERS,16
14,258,M3 NUT,FASTENERS,46
15,279,623 BEARING,HARDWARE,5
16,380,M3X40 CAP HEAD,FASTENERS,2
17,390,M5X300MM THREADED ROD,Hardware,1
18,394,DUET,ELECTRONICS,1
19,402,SMOOTH ROD 12X350MM,Hardware,4
20,407,Z RUNNER MOUNT,PRINTED PARTS,1
21,408,NEMA 17,HARDWARE,3
22,414,M6X16MM COUNTERSUNK SOCKET SCREW,Fasteners,7
23,423,MR93ZZ BEARING,Hardware,1
24,424,M4X16MM BUTTON HEAD CAP SCREW,Fasteners,3
25,425,Z NUT TRAP V2,PRINTED PARTS,1
26,429,M3X8 COUNTERSUNK SCREW,FASTENERS,2
27,437,Z LOWER MOUNT,PRINTED PARTS,1
28,438,Z UPPER MOUNT,PRINTED PARTS,1
29,440,Z GEAR,PRINTED PARTS,1
30,441,Z GEAR DRIVEN,PRINTED PARTS,1
31,442,SPOOL SPIGOT,PRINTED PARTS,1
32,443,LM12LUU,HARDWARE,1
33,444,LM12UU,Hardware,5
34,452,20X40 ALUMINIUM EXTRUSION 350MM,Hardware,2
35,461,M2.5X10 CAP HEAD,Fasteners,4
36,462,X IDLER BRACKET,PRINTED PARTS,1
37,465,M3X50 CAP HEAD,FASTENERS,6
38,466,M3X12 COUNTERSUNK HEAD,FASTENERS,7
39,467,M3X20MM COUNTERSUNK SOCKET SCREW,Fasteners,1
40,468,M3X25MM COUNTERCUNK SOCKET SCREW,Fasteners,1
41,469,Z MOTOR BRACE,PRINTED PARTS,1
42,473,X MOTOR BRACKET,PRINTED PARTS,1
43,492,Z BEARING CLAMP,PRINTED PARTS,2
44,497,M4 T-NUT,Fasteners,15
45,498,HEAT SPREADER,HARDWARE,1
46,503,Z FOOT,PRINTED PARTS,1
47,520,M3X35 CAP SCREW,FASTENERS,1
48,527,Z CORNER BRACKET,PRINTED PARTS,1
49,529,Y AXIS RIB,LASER CUT,1
50,530,Y AXIS CROSS RIB,LASER CUT,1
51,531,Y AXIS END PLATE,LASER CUT,2
52,543,M3X30 CAP SCREW,FASTENERS,4
53,544,M3X16MM COUNTERSUNK SOCKET SCREW,Fasteners,4
54,545,PROXIMITY SENSOR PCB,ELECTRONICS,1
55,546,X Carriage,PRINTED PARTS,1
56,547,Y IDLER BRACKET,PRINTED PARTS,1
57,548,Y MOTOR BRACKET,PRINTED PARTS,1
58,549,Y BEARING BELT CLAMP,PRINTED PARTS,1
59,550,Y BEARING CLAMP TAGGED,PRINTED PARTS,1
60,561,X AXIS PLATE,LASER CUT,1
61,562,X RIB,LASER CUT,1
62,575,BED CABLE SHIELD,Sheet,1
63,576,DUET ENCLOSURE BASE,HARDWARE,1
64,577,DUET ENCLOSURE LID,HARDWARE,1
65,578,DUET PERIMETER,HARDWARE,1
66,579,MOTOR SHIELD,SHEET METAL,1
67,581,VBFS-M3-5-16,FASTENERS,4
68,582,MOTOR SHIELD,HARDWARE,2
69,597,REGULATOR PCB,ELECTRONICS,1
70,641,SPACER,LASER CUT,1
71,642,SPOOL MOUNT,LASER CUT,1
72,651,M4X10mm BUTTON HEAD SCREW,HARDWARE,6
73,681,BED,LASER CUT,1
74,712,M5 FULL NUT,FASTENERS,3
75,818,M3X18MM MALE/FEMALE STANDOFF VBMP-M3-5.0-18,FASTENERS,3
76,820,PSU COVER,PRINTED PARTS,1
77,821,PSU BRACE,PRINTED PARTS,1
78,822,OUTER PSU PLATE,HARDWARE,1
79,823,PSU SPACER,HARDWARE,1
80,824,PSU COVER SPACER,HARDWARE,1
81,825,INNER PSU PLATE,LASERCUT,1
82,826,INNER PSU SPACER,LASERCUT,1
83,829,M4X50MM BUTTON HEAD SOCKET SCREW,Fasteners,1
84,831,SP-200 12V POWER SUPPLY,HARDWARE,1
